id,season_id,week_number,predictions_open,predictions_close,live_start,live_end,created_at
3fbb2bf0-cef3-48b2-9d04-ecba8bd4165b,27404307-72b4-4518-a32c-ce15384915d9,6,2025-09-21 13:32:00+00,2025-09-25 22:59:00+00,2025-09-26 21:00:00+00,2025-09-29 23:33:00+00,2025-09-22 12:36:14.776633+00
435af285-efb9-47f0-a3b5-aa47b7b78b56,27404307-72b4-4518-a32c-ce15384915d9,12,2025-11-10 01:51:00+00,2025-11-20 23:59:00+00,2025-11-21 19:52:00+00,2025-11-24 23:52:00+00,2025-11-10 19:56:44.155032+00
5e429b8e-0feb-41e8-a512-cd6ae112b657,27404307-72b4-4518-a32c-ce15384915d9,29,2026-03-16 03:18:00+00,2026-03-19 23:59:00+00,2026-03-20 05:12:00+00,2026-03-22 22:13:00+00,2026-03-17 03:19:19.353028+00
6321df99-8fc5-4465-a345-4e85e454e8cc,27404307-72b4-4518-a32c-ce15384915d9,5,2025-09-15 01:59:00+00,2025-09-19 22:59:00+00,2025-09-20 01:26:00+00,2025-09-21 23:26:00+00,2025-09-15 00:29:47.598886+00
634bef0a-8a4f-4bb4-a7cc-79a5ec61e5cb,27404307-72b4-4518-a32c-ce15384915d9,16,2025-12-15 03:55:00+00,2025-12-18 23:59:00+00,2025-12-19 17:00:00+00,2025-12-22 23:00:00+00,2025-12-16 02:00:34.038291+00
7577e1cd-1ba9-4266-acbc-d2d0027002a7,27404307-72b4-4518-a32c-ce15384915d9,22,2026-01-26 00:57:00+00,2026-01-29 23:59:00+00,2026-01-30 18:57:00+00,2026-02-02 22:58:00+00,2026-01-27 01:02:17.032587+00
7be0759a-59c6-4da1-be13-e876a9051907,27404307-72b4-4518-a32c-ce15384915d9,8,2025-10-05 23:00:00+00,2025-10-17 22:59:00+00,2025-10-18 12:00:00+00,2025-10-20 23:00:00+00,2025-10-06 00:06:45.719059+00
7d6130ac-980a-4352-8ec0-29a06643525e,27404307-72b4-4518-a32c-ce15384915d9,19,2026-01-04 01:23:00+00,2026-01-08 23:59:00+00,2026-01-09 19:23:00+00,2026-01-11 23:23:00+00,2026-01-05 01:34:54.545282+00
7f04d06c-ca42-403e-8bc7-194f0a0c631a,27404307-72b4-4518-a32c-ce15384915d9,13,2025-11-24 01:30:00+00,2025-11-28 23:59:00+00,2025-11-29 10:31:00+00,2025-11-30 19:26:00+00,2025-11-25 02:35:34.549415+00
83060e08-aa40-4cdb-b07e-9690e6ec77c9,27404307-72b4-4518-a32c-ce15384915d9,32,2026-04-13 02:26:00+00,2026-04-17 22:59:00+00,2026-04-18 12:30:00+00,2026-04-20 22:30:00+00,2026-04-14 01:31:06.616637+00
976d2b52-ae86-4db2-a398-bb57fbbaeb87,27404307-72b4-4518-a32c-ce15384915d9,20,2026-01-11 01:15:00+00,2026-01-15 23:59:00+00,2026-01-16 19:15:00+00,2026-01-19 23:15:00+00,2026-01-12 01:19:16.864628+00
b0768a69-dec7-4af7-b170-19230fdc82ab,27404307-72b4-4518-a32c-ce15384915d9,21,2026-01-19 01:42:00+00,2026-01-23 23:59:00+00,2026-01-24 11:42:00+00,2026-01-26 23:42:00+00,2026-01-20 01:48:38.899016+00
b8e9c830-4504-4e15-9aba-2cf1e3b2de9d,27404307-72b4-4518-a32c-ce15384915d9,18,2025-12-28 01:15:00+00,2026-01-02 23:59:00+00,2026-01-03 11:15:00+00,2026-01-04 23:16:00+00,2025-12-29 01:19:48.069015+00
d6d48c4a-c6a6-4149-a03a-6a45d592346a,27404307-72b4-4518-a32c-ce15384915d9,30,2026-03-22 01:18:00+00,2026-04-01 22:59:00+00,2026-04-02 19:30:00+00,2026-04-05 20:19:00+00,2026-03-23 01:29:02.666182+00
d77ab4fc-0b5e-46dc-8403-2c02eb802dd6,27404307-72b4-4518-a32c-ce15384915d9,7,2025-09-29 01:35:00+00,2025-10-02 22:59:00+00,2025-10-03 10:30:00+00,2025-10-05 20:00:00+00,2025-09-30 00:40:13.853434+00
d7a991ce-94f4-44a6-9e3a-bda9babd7e11,27404307-72b4-4518-a32c-ce15384915d9,14,2025-11-30 01:30:00+00,2025-12-04 23:59:00+00,2025-12-05 01:30:00+00,2025-12-08 23:30:00+00,2025-12-01 00:34:45.195796+00
d8d2e264-f062-4c84-bc77-cf67da4c3bf5,27404307-72b4-4518-a32c-ce15384915d9,3,2025-08-25 23:30:00+00,2025-08-29 22:59:00+00,2025-08-30 12:30:00+00,2025-08-31 22:30:00+00,2025-08-26 00:42:01.817133+00
db3a5288-ba3c-4edf-96b7-6d7bc46e834c,27404307-72b4-4518-a32c-ce15384915d9,28,2026-03-09 03:21:00+00,2026-03-13 23:59:00+00,2026-03-14 07:30:00+00,2026-03-16 23:30:00+00,2026-03-10 03:28:30.960142+00
dbca26f6-24f8-4b2b-ae21-363e5a3a3801,27404307-72b4-4518-a32c-ce15384915d9,31,2026-04-05 04:01:00+00,2026-04-09 22:59:00+00,2026-04-10 20:00:00+00,2026-04-13 23:02:00+00,2026-04-06 03:06:22.703141+00
e1083685-268d-4376-bbc8-14fe74194d46,27404307-72b4-4518-a32c-ce15384915d9,1,2025-08-06 15:03:00+00,2025-08-13 22:59:00+00,2025-08-14 08:00:00+00,2025-08-18 23:00:00+00,2025-08-07 14:07:51.727724+00
e4227354-b5dd-4f39-8e72-213393a8c485,27404307-72b4-4518-a32c-ce15384915d9,27,2026-03-01 04:56:00+00,2026-03-05 23:59:00+00,2026-03-06 20:00:00+00,2026-03-09 23:00:00+00,2026-03-02 05:03:53.750567+00
ef99d1e9-75a3-4c2a-9ab3-48604f86b4fa,27404307-72b4-4518-a32c-ce15384915d9,24,2026-02-07 20:34:00+00,2026-02-12 23:59:00+00,2026-02-13 18:34:00+00,2026-02-16 23:40:00+00,2026-02-08 20:38:47.395874+00
